値段,2280
価格,1968
容量,636
安い,452
満足,395
購入,367
安く,334
充電,304
の,303
手頃,257
いい,242
良い,233
問題,230
商品,193
性能,186
的,165
さ,149
割,145
こと,129
使用,129
これ,124
デザイン,121
円,114
バッテリー,111
以上,103
もの,103
手ごろ,87
十分,86
コストパフォーマンス,86
文句,83
便利,83
品質,82
相応,80
品,76
機能,75
安かっ,75
高い,75
よう,71
良かっ,70
製品,69
非常,65
ない,65
大変,64
安心,63
お買い得,63
気,62
2,61
mAh,60
よかっ,60
重宝,58
他,55
最高,55
２,54
なし,54
リーズナブル,52
やすい,51
得,51
素晴らしい,50
回,49
ところ,49
1,49
時,49
純正,47
安,47
用,47
,46
こちら,46
ケーブル,44
パ,43
大き,43
サイズ,43
物,43
なく,43
器,42
割り,42
納得,41
仕方,41
今,41
それ,40
帯,40
倍,40
使い勝手,40
性,39
10,39
ん,38
ポート,37
普通,37
大きい,35
重い,35
感じ,35
差,34
コス,34
3,34
店,34
高く,34
評価,34
よい,33
方,33
買い物,33
コンパクト,33
ため,33
GB,32
5,32
心配,32
メーカー,32
１,32
良く,32
バランス,31
保証,31
期待,31
魅力,31
そう,31
時間,30
モバイル,30
iPhone,30
わり,29
おすすめ,29
感,29
32,29
手,29
事,28
販売,28
重,28
損,28
何,28
安価,27
スペック,26
価値,26
レビュー,26
アダプター,26
出力,26
スマ,25
送料,25
通り,25
対応,25
携帯,25
見た目,25
一,25
質感,25
すごく,24
早く,24
どれ,24
やすく,23
可能,23
とも,23
(,23
4,22
３,22
オススメ,22
星,22
私,22
大きく,21
重量,21
10000,21
記念,21
作り,21
A,20
分,20
色,20
早い,20
必要,20
量販,20
アダプタ,20
可愛い,19
不具合,19
０,19
充分,19
耐久,18
利用,18
それなり,18
通常,18
電源,18
程度,18
適正,18
無い,18
良し,18
度,18
製,18
本体,17
比較,17
点,17
嬉しい,17
かわいい,17
びっくり,17
!!,17
付属,17
Amazon,16
発売,16
ヶ月,16
等,16
速度,16
笑,16
すごい,16
USB,16
一つ,16
台,16
中,16
小さく,16
持ち運び,16
本,15
申し分,15
量,15
動作,15
他社,15
多い,15
3000,15
信頼,15
良,15
不安,15
不満,15
残念,15
質,15
ライト,15
上,15
そこ,15
),15
ホ,14
設定,14
安定,14
高め,14
考慮,14
数,14
良心,14
付き,14
妥当,14
５,14
無し,14
よく,14
現在,14
期限,13
コスパ,13
クオリティ,13
共,13
カード,13
Class,13
面,13
予備,13
フル,13
あと,13
さん,12
返品,12
シンプル,12
認識,12
!,12
大丈夫,12
うれしい,12
以下,12
家電,12
自分,12
日,12
十,12
値打ち,12
コンセント,12
良品,11
最初,11
mA,11
全て,11
.,11
/,11
ありがたい,11
ＧＢ,11
半額,11
今回,11
ダメ,11
消耗,11
転売,11
AC,11
半分,11
表示,11
手軽,11
格安,11
内容,11
データ,11
すばらしい,11
2000,11
~,11
以前,10
急速,10
10400,10
込み,10
活躍,10
確認,10
クラス,10
余裕,10
半年,10
対,10
LED,10
とき,10
セール,10
正直,10
高かっ,10
驚き,10
13000,10
高性能,10
個,10
４,10
変動,10
無く,10
買い,10
買い得,10
ベスト,10
かなり,10
ほう,10
年,10
切れ,9
コード,9
悪く,9
長持ち,9
前,9
多く,9
パフォーマンス,9
cheero,9
もん,9
中国,9
位,9
リリース,9
欲しかっ,9
千,9
イイ,9
電池,9
小さい,9
所,9
二,8
絶対,8
近い,8
到着,8
悪い,8
よし,8
ブランド,8
個人,8
範囲,8
ショップ,8
G,8
Anker,8
元,8
店頭,8
正規,8
20000,8
反応,8
検討,8
外観,8
違い,8
後,8
タブレット,8
旅行,8
注文,8
仕様,8
長い,8
スピード,8
アマゾン,8
キャンペーン,8
選択,8
梱包,8
無かっ,7
人,7
重たい,7
一番,7
高,7
認証,7
相当,7
発見,7
後悔,7
同等,7
ネット,7
しょうが,7
可愛く,7
決め手,7
長,7
不便,7
スマート,7
圧倒的,7
能力,7
微妙,7
毎日,7
限定,7
500,7
市販,7
音,7
配送,7
なかっ,7
W,7
高級,7
good,7
友人,7
１つ,7
スマホ,7
一品,7
OK,7
活用,7
自体,7
間違い,7
断線,7
意味,7
