16,4,６,見た目,良く,iPhone,価格
30,1,の,価格,良く,いい,非常
34,4,値段,安い,程度,の,満足
36,5,質,価格,高品,評価,随所
59,4,回,安く,充電,iPhone,価格
67,5,寿命,価格,私,性能,これ
78,5,価格,競合,感,いい,帯
106,5,値段,よし,バランス,コストパフォーマンス,性能
114,5,値段,感じ,高い,品質
119,4,値段,安っぽ,商品,こちら,割り
125,5,値段,最初,送料,充電,込み
129,5,パッケージ,価格,デザイン,十,二
131,5,値段,安く,ビニール,対策,満足
133,4,十分,値段,デザイン,手頃,満足
141,2,価格,手頃,評価,良く,試し
142,5,ランプ,価格,星,仕方,いい
147,5,カバン,値段,手頃,邪魔,今
149,5,価格,バッテリー,性能,良
157,4,少なかっ,娘,安かっ,手ごろ,値段,よう,納得
174,5,価格,他社,マッチ,製品
201,5,コンパクト,非常,安く,良い,価格
203,4,価格,購入,充電,大変,問題
213,4,価格,良,大き,さ,使い勝手
225,4,値段,納得,充電,時間
232,5,値段,使用,度,安い,いい
255,4,値段,安い,仕方,の,残念
290,5,持ち運び,商品,苦,価格
298,5,値段,割,いい
309,5,値段,コス,パ,感,高級
331,5,値段,重い,ケーブル,良い,ホ
337,5,値段,感じ,いい,さ,申し分
374,4,価格,綺麗,充分,製品
383,4,値段,クオリティ,すばらしい,いい
392,4,値段,満足,手頃,小さく,ポーチ
393,5,価格,小さく,的,満足,サイズ,容量
404,5,値段,デザイン,こと,手頃,素晴らしい
418,5,値段,オススメ,安く,一つ,安心
427,5,1,値段,よう,台,変動
432,5,値段,可愛く,可愛,良い,容量
439,5,価格,安く,大丈夫,満足
470,4,安い,価格,あと,財布,沢山
478,5,ん,安く,バッテリー,容量,価格
480,5,値段,安かっ,重,一つ,さ
521,5,価格,質感,良かっ,商品
524,4,価格,2,丁度,いい,回
547,5,値段,相応,的,の
552,5,価格,オススメ,もの,これ
557,4,おすすめ,値段,バランス,自分,手ごろ
576,5,値段,安い,良かっ,♪,心配
583,5,買物,値段,手頃,外観,良い
602,5,価格,十分,利用,使い勝手,納得,の,サイズ
605,3,(,的,仕方,欲しかっ,価格
606,4,価格,気,よう,500,(
613,5,値段,ん,楽しい,の,いい
622,5,安い,価格,友人,充電,相応,的,好評,タイプ,値段,容量
654,3,値段,もん,見た目
661,5,値段,回,一,使用
667,5,値段,完了,早かっ,さ,大き
671,5,モバイル,価格,デザイン,バッテリー,性能
682,4,値段,安い,星,今,4
690,5,値段,優秀,的,凄く,いい
699,5,価格,デザイン,とも,残念,満足
700,3,価格,購入,割,スタイリッシュ
714,5,価格,デザイン,どれ,性能,問題
719,5,値段,以上,ケーブル,作り,品質
729,4,巾着,便利,値段,手頃,すごく
772,5,値段,欲しかっ,の
799,1,相応,わけ,カバー,容量,価格
805,5,値段,手ごろ,やすい,容量
