1,5,値段,話,高い,わけ,TOSHIBA
2,4,安い,価格,分,純正,多い
30,1,値段,5000,円,microSD,カード
36,4,価格,安く,商品,心配,こちら
39,2,値段,平均,的,どれ,問題
42,4,価格,速度,一品,純正,的,転送,ベスト,高い,品
47,5,価格,非常,安心,保証,期限
50,1,用,値段,購入,手頃,書き込み
56,2,価格,当初,性能,これ,満足
57,5,値段,手,判断,商品,材料
65,1,安い,価格,魅力,アダプター
71,4,価格,トランセンド,安く,品質,さん
72,5,価格,性,それなり,安く,抜群
79,5,価格,ため,),32,近辺,電気,GB,保証,手,店舗
85,5,最近,価格,みたい,メーカー,安い
87,4,32,素晴らしい,音楽,GB,価格
97,1,価格,素晴らしい,最高,容量
100,4,値段,安,スマホ,の,さ
103,5,以上,値段,倍,店,家電
110,1,価格,XPERIA,いい
111,1,値段,安い,事態,アプリ,製品
113,5,値段,安値,商品,何,安い
117,5,テンション,がた落ち,値段,用量,&
121,1,値段,良心,的,安心
123,5,８,値段,こと,安く,GB
127,5,値段,使用,安く,E,32
136,5,価格,的,面,GB,モデル
142,1,値段,購入,なし,トラブル,次回
144,1,１,倍,商品,以上,今後,性,値段,こと,ヶ月
145,5,安い,価格,購入,為,容量
149,5,他,価格,安い,の,割高
150,5,入手,ん,購入,手軽,価格
152,5,値段,他社,こと,無料,こちら
155,5,値段,インストール,大変,安い,自動的
158,1,価格,性,ブランド,耐久,等
165,5,価格,２,GB,いい,コストパフォーマンス
172,3,価格,信頼,なし,性,容量
178,1,再生,価格,b,動画,^)=
180,4,価格,性,信頼,枚,ほう
181,5,価格,安く,グッド,スマ
191,5,安い,もの,違い,注文,容量,店頭,の,代わり,値段,よう,カード,メモリー
193,5,用,価格,3,Class,10
198,4,値段,安い,何,問題
199,5,価格,商品,嬉しい,ノート,得
200,4,０,１,価格
210,3,汎用,値段,性,優先
213,5,希,価格,中,評価,バランス
215,5,時,10,お買い得,Class,価格
220,5,価格,高い,調査,品,ため
221,5,諸国,価格,何,違い,32,東南アジア,GB,値段
222,5,値段,安く,いい
225,5,０,価格,１,クラス,満足,容量
231,5,価格,範囲,満足,問題
234,2,値段,手頃,ＳＤＨＣ,カード,使い勝手
238,2,価格,よう,GB,32,SD
240,5,価格,なし,遜色,３,分の
241,5,他,価格,手頃,使用,メーカー
246,4,ＧＢclass,10,値段,夢,意味
249,5,価格,安く,商品,評価,こちら
250,5,価格,高い,評価,上,カード
257,5,値段,通り,2
259,4,値段,お買い得,動画,問題
260,5,安い,価格,保証,高い,検討,品,ない,こと,コチラ
263,5,価格,購入,安く,即決,ため
270,5,値段,ん,度,心配,高い
272,5,価格,さ,良い,安
273,5,昔,安価,はるか,なり手,価格
274,4,それ,価格,なく,高速,容量
279,5,値段,私,対応,位,HTC
280,4,価格,うれしい,一流,メーカー
285,5,価格,手頃,間違い,の,いい
286,5,価格,カード,SD
301,5,難,ん,よかっ,面,価格
304,5,値段,アマゾン,安く,タブレット,物
310,5,値段,32,カメラ,GB,防犯
313,5,価格,変換,保証,永久,アダプタ
314,5,最近,価格,納得,携帯,金額,値段,容量
315,5,用,価格,手頃,タブレット
318,5,値段,納得,保証,さ,良
320,4,値段,実用,ブランド,の,良い
321,4,価格,保障,損,期待,品,問題,読み込み,お買い得,容量
322,5,損,10,無い,Class,価格
327,5,価格,枚,組
329,5,値段,倍,方,こちら,３
335,5,値段,8,GB,16
343,3,価格,範囲,手頃,内,長持ち
345,5,安い,最低,値,妥協,価格
349,4,価格,安全,性,GB,良い
360,5,価格,手頃,確か,品質,問題
361,5,価格,トランセンド,付き,いい,アダプタ
363,2,10,手ごろ,ダメ,CIass,価格
372,5,経験,値段,読み書き,こと,速
375,5,値段,相応,Galaxy
381,5,値段,10,相応,期待
383,4,以下,ため,.,com,価格
391,5,値段,安い,大きく,単純,容量
392,4,!!,10,得,Class,価格
396,4,値段,10,納得,CLASS,満足
401,4,価格,帯,高い,仕様,性,読み込み,もの,値段,用途,データ
404,4,価格,２,３,ショップ,アマゾン,チップ,値段,購入,マイクロ,高額
409,5,値段,格安,ブランド,もの,安心
411,2,一番,値段,こと,安い,速く
417,5,値段,支障,なし,お買い得
419,5,価格,ノート,良い,いい,製品
420,4,びっくり,値段,安い,破損,記録
427,5,手軽,価格,買い物,良い,問題
438,4,値段,32,コストパフォーマンス,良い,GB
441,5,価格,Class,１
443,5,値段,最近,安く,GB,16
444,5,値段,２,ＧＢ,半信半疑,購入
451,5,値段,ん,Class,コレ,店舗
452,4,他,価格,安く,おすすめ,の
453,5,安い,価格,なく,もの,商品
457,5,用,使用,値段,自分,問題
459,4,安め,今回,それなり,性能,価格
465,2,値段,使用,店,破格,問題
466,5,リーズナブル,価格,度,大変,一
470,2,価格,純正,断念,手ごろ,高く,人,こちら
474,5,用,値段,今,こちら,容量
481,2,考慮,安定,よく,商品,価格
484,5,値段,ハイビジョン,画質,いい,~
485,5,価格,速度,ホ,スピード,決め手,スマ,容量
488,5,安い,10,データ,Class,価格
493,5,安い,価格,安く,割り,いい,高い,値段,CLASS
496,5,必修,２,いい,お気,GB,値段,よう,カード,の
500,4,値段,以上,windowsTablet
501,5,安い,価格,スピード,32,速く
504,5,無かっ,購入,安く,の,価格
505,4,有,価格,事,保証,良い
506,5,ところ,大丈夫,値段,良かっ,手ごろ
507,5,感謝,価格,商品,うれしい,帯
511,4,値段,故障,こと,よい,安い
517,5,値段,２,一通り,GB,必要
518,5,用,価格,メーカ,信頼,ボイスレコーダ
526,4,安い,値段,２,３
527,4,予定,手頃,安心,良い,価格
529,5,普通,値段,なし,Class,10
530,5,Transcend,素晴らしい,性能,品質,価格
531,5,32,ＧＢ,価格
532,5,余裕,値段,手頃,の,容量
539,1,値段,故障,処,妥当
540,5,安い,価格,エラー,コストパフォーマンス,不良,利用,合格
545,5,価格,手頃,物,満足
551,4,８,価格,ＧＢ,包装,簡素
555,5,レビュー,値段,信頼,割,いろいろ
559,4,価格,安く,品質,転送,安かっ,心配,満足,値段,失敗,購入,初め
561,5,値段,２,なし,GB,文句
563,5,ない,値段,購入,手頃,満足
565,4,値段,タフ,割,良い,繰り返し
566,5,それ,価格,結構,G,~
568,5,値段,安い,２,ＧＢ,ドライブ
569,4,価格,２,ＧＢ,の,帯
570,5,現時点,使用,度,御薦め,価格
574,1,値段,やすい,もの,いい,手ごろ
577,4,いくつ,価格,お世話,これ,安心
579,1,普通,値段,購入,これ,満足
580,5,納得,価格,動作,お買い得,問題
588,4,データ,バランス,保存,良い,価格
590,4,値段,十分,期待,安く,これ
593,4,値段,10,性能,良い
601,5,値段,２,GB,いい,コストパフォーマンス
606,3,ラッキー,保障,32,それ,店頭,GB,値段,買い物
608,4,迅速,価格,32,対応,満足
609,5,物,価格,不要,安い,差,数,的,歓迎,アクセス,百,購入,円,早く
610,5,価格,星,5,手頃
618,4,割,安く,認識,良い,問題,値段
623,5,32,高い,感じ,GB,価格
639,5,･･･。,使用,容量,お買い得,価格
645,5,安い,価格,店頭,購入,得
654,5,価格,動作,なく,Class,10
656,4,便利,満足,品質,価格
662,5,使用,問題,お買い得,良い,価格
664,5,価格,動作,なし,文句,速く
676,3,使用,面,ビデオカメラ,不安,価格
678,5,価格,無事,安く,大変,安かっ,ぎ
679,5,価格,性能,必要,満足
680,4,10,重宝,クラス,価格
682,5,比較,感じ,好み,性能,価格
683,5,値段,半年,前,今,問題
684,5,用,価格,安く,もの,満足
691,5,ＧOOD,価格,的,安く,品質,購入
705,5,十分,32,的,GB,価格
719,5,値段,こと,よう,後,の
731,4,価格,割,コストパフォーマンス,うれしい,10,性能,良い,購入,Class
733,5,価格,購入,所,の,差
734,5,価格,品質,安く,消耗,品
737,5,値段,安かっ,良かっ,買い物,良い
739,5,安い,micro,ケータイ,アダプタ,価格
744,4,十分,値段,安かっ,満足
